EpochTime,EpochTime,CLOSE,HIGH,LOW,OPEN,VOLUME,first differences
1495719000,1495719000,79.16,79.18,79.16,79.18,6997,
1495719060,1495719060,79.24,79.24,79.03,79.05,991,0.0799999999999983
1495719120,1495719120,79.31,79.31,79.095,79.095,2500,0.07000000000000739
1495719180,1495719180,79.4,79.432,79.16,79.16,2500,0.09000000000000341
1495719240,1495719240,79.35,79.405,79.33,79.405,1200,-0.05000000000001137
1495719300,1495719300,79.275,79.37,79.23,79.37,2045,-0.07499999999998863
1495719360,1495719360,79.285,79.29,79.1,79.22,4726,0.009999999999990905
1495719420,1495719420,79.28,79.28,79.28,79.28,200,-0.004999999999995453
1495719480,1495719480,79.3,79.36,79.27,79.31,2233,0.019999999999996014
1495719540,1495719540,79.36,79.38,79.28,79.28,2389,0.060000000000002274
1495719600,1495719600,79.23,79.44,79.22,79.42,4580,-0.12999999999999545
1495719660,1495719660,79.4,79.43,79.3,79.3,8990,0.1700000000000017
1495719720,1495719720,79.55,79.55,79.39,79.4,11059,0.14999999999999147
1495719780,1495719780,79.59,79.63,79.51,79.51,9200,0.04000000000000625
1495719840,1495719840,79.64,79.65,79.62,79.65,5439,0.04999999999999717
1495719900,1495719900,79.64,79.69,79.64,79.65,5224,0.0
1495719960,1495719960,79.685,79.69,79.61,79.62,7161,0.045000000000001705
1495720020,1495720020,79.77,79.78,79.655,79.69,9022,0.08499999999999375
1495720080,1495720080,79.85,79.85,79.73,79.79,22633,0.0799999999999983
1495720140,1495720140,79.88,79.88,79.84,79.87,4913,0.030000000000001137
1495720200,1495720200,79.89,79.89,79.8428,79.88,3561,0.010000000000005116
1495720260,1495720260,79.8889,79.94,79.86,79.8786,11486,-0.0010999999999938836
1495720320,1495720320,79.87,79.89,79.84,79.88,6082,-0.018900000000002137
1495720380,1495720380,79.88,79.91,79.87,79.89,9051,0.009999999999990905
1495720440,1495720440,79.89,79.89,79.88,79.88,300,0.010000000000005116
1495720500,1495720500,79.88,79.91,79.85,79.88,4735,-0.010000000000005116
1495720560,1495720560,79.93,79.9393,79.85,79.85,6384,0.05000000000001137
1495720620,1495720620,79.885,79.92,79.885,79.9,1813,-0.045000000000001705
1495720680,1495720680,79.85,79.91,79.85,79.861,9821,-0.0350000000000108
1495720740,1495720740,79.82,79.85,79.81,79.85,2400,-0.030000000000001137
1495720800,1495720800,79.83,79.84,79.83,79.84,200,0.010000000000005116
1495720860,1495720860,79.78,79.815,79.75,79.815,13580,-0.04999999999999717
1495720920,1495720920,79.815,79.84,79.7614,79.7614,4492,0.03499999999999659
1495720980,1495720980,79.81,79.84,79.78,79.84,3200,-0.004999999999995453
1495721040,1495721040,79.805,79.87,79.8,79.85,6100,-0.004999999999995453
1495721100,1495721100,79.8,79.84,79.77,79.82,6604,-0.005000000000009663
1495721160,1495721160,79.81,79.81,79.76,79.7853,1943,0.010000000000005116
1495721220,1495721220,79.75,79.83,79.75,79.8055,3747,-0.060000000000002274
1495721280,1495721280,79.78,79.78,79.73,79.73,1900,0.030000000000001137
1495721340,1495721340,79.91,79.91,79.79,79.79,13495,0.12999999999999545
1495721400,1495721400,79.95,79.9772,79.899,79.899,8112,0.04000000000000625
1495721460,1495721460,79.9235,79.93,79.89,79.905,3629,-0.02649999999999864
1495721520,1495721520,79.93,79.95,79.92,79.94,2938,0.006500000000002615
1495721580,1495721580,79.92,79.99,79.92,79.94,3796,-0.010000000000005116
1495721640,1495721640,80.06,80.07,79.94,79.9561,41903,0.14000000000000054
1495721700,1495721700,79.9601,80.1,79.95,80.07,8500,-0.0999000000000052
1495721760,1495721760,79.9,79.9734,79.86,79.94,4890,-0.060099999999991376
1495721820,1495721820,79.8671,79.9,79.86,79.9,1250,-0.03290000000001213
1495721880,1495721880,79.785,79.88,79.7601,79.88,3000,-0.08209999999999695
1495721940,1495721940,79.78,79.81,79.78,79.805,1753,-0.004999999999995453
1495722000,1495722000,79.77,79.79,79.74,79.78,2400,-0.010000000000005116
1495722060,1495722060,79.79,79.83,79.77,79.79,1602,0.020000000000010232
1495722120,1495722120,79.73,79.77,79.73,79.77,698,-0.060000000000002274
1495722180,1495722180,79.74,79.75,79.6701,79.72,9400,0.009999999999990905
1495722240,1495722240,79.78,79.78,79.735,79.735,910,0.04000000000000625
1495722300,1495722300,79.76,79.8252,79.76,79.78,1927,-0.019999999999996014
1495722360,1495722360,79.84,79.84,79.74,79.74,5731,0.0799999999999983
1495722420,1495722420,79.84,79.87,79.83,79.86,1698,0.0
1495722480,1495722480,79.83,79.86,79.83,79.85,1225,-0.010000000000005116
1495722540,1495722540,79.81,79.81,79.78,79.78,510,-0.019999999999996014
1495722600,1495722600,79.77,79.815,79.77,79.815,7310,-0.04000000000000625
1495722660,1495722660,79.77,79.82,79.77,79.77,1812,0.0
1495722720,1495722720,79.79,79.81,79.77,79.77,2000,0.020000000000010232
1495722780,1495722780,79.81,79.81,79.77,79.8,2531,0.019999999999996014
1495722840,1495722840,79.8297,79.84,79.8,79.8,1452,0.01970000000000028
1495722900,1495722900,79.81,79.8459,79.8,79.8459,2818,-0.01970000000000028
1495722960,1495722960,79.8,79.82,79.8,79.82,300,-0.010000000000005116
1495723020,1495723020,79.75,79.83,79.75,79.83,2000,-0.04999999999999717
1495723080,1495723080,79.78,79.78,79.73,79.75,5320,0.030000000000001137
1495723140,1495723140,79.84,79.84,79.79,79.79,500,0.060000000000002274
1495723200,1495723200,79.88,79.88,79.805,79.805,5700,0.039999999999992035
1495723260,1495723260,79.9,79.9015,79.9,79.9,2155,0.020000000000010232
1495723320,1495723320,79.905,79.91,79.88,79.89,5795,0.004999999999995453
1495723380,1495723380,79.89,79.9,79.88,79.9,1000,-0.015000000000000568
1495723440,1495723440,79.844,79.86,79.844,79.86,750,-0.04600000000000648
1495723500,1495723500,79.84,79.85,79.79,79.8,1100,-0.0039999999999906785
1495723560,1495723560,79.86,79.86,79.8357,79.8357,1000,0.019999999999996014
1495723620,1495723620,79.9,79.9,79.9,79.9,350,0.04000000000000625
1495723680,1495723680,79.96,79.96,79.9,79.9,1600,0.05999999999998806
1495723740,1495723740,79.93,79.96,79.93,79.96,3015,-0.029999999999986926
1495723800,1495723800,79.92,79.98,79.91,79.94,7105,-0.010000000000005116
1495723860,1495723860,79.9,79.91,79.88,79.9,4103,-0.019999999999996014
1495723920,1495723920,79.9,79.91,79.9,79.91,700,0.0
1495723980,1495723980,79.9,79.9,79.9,79.9,1201,0.0
1495724040,1495724040,79.91,79.91,79.8947,79.9,5300,0.009999999999990905
